,review_description,rating,cleaned_text,sentiment_score,vader_label,highest_emotion
198248,Very nice,4,very nice,0.4754,2,trust
305659,Enjoying,5,enjoying,0.5267,2,trust
177482,I love Candy Crush Saga! This game gives great bonuses. I play whenever I have down time. Thanks for a great time!,5,i love candy crush saga this game gives great bonuses i play whenever i have down time thanks for a great time,0.967,2,anticipation
250128,"It's giving me problems,I tried to save my progress it's not allowing me, and always it's not responding.Please can you fix the problem I love playing the game I even updated the game still not responding.",1,its giving me problemsi tried to save my progress its not allowing me and always its not respondingplease can you fix the problem i love playing the game i even updated the game still not responding,0.8934,2,positive
57697,Nice game,5,nice game,0.4215,2,trust
128993,Good,4,good,0.4404,2,trust
263942,I enjoy this game,5,i enjoy this game,0.4939,2,trust
143655,Good game nice broads,5,good game nice broads,0.6908,2,trust
17421,Lovely game reduce stress,5,lovely game reduce stress,0.25,2,trust
69168,It's Gud and amazing .. .,5,its gud and amazing,0.5859,2,trust
85900,"Great game, been playing for years. I dont really like some of the new music and the map appearance. I only really like one of the new music.",4,great game been playing for years i dont really like some of the new music and the map appearance i only really like one of the new music,0.3063,2,positive
123246,This game is a lot of fun to play.,5,this game is a lot of fun to play,0.6908,2,positive
298543,BEST GAME EVER!!!!!!!!,5,best game ever,0.6369,2,trust
126087,Super challenging download if looking for a challenge.,5,super challenging download if looking for a challenge,0.7003,2,negative
198582,Tougher than before when I played,5,tougher than before when i played,0.4767,2,trust
134750,Awesome,5,awesome,0.6249,2,trust
266769,Good,5,good,0.4404,2,trust
96756,This game is very superb game,1,this game is very superb game,0.659,2,positive
207836,Fun and fantastic,5,fun and fantastic,0.7845,2,positive
195318,Brilliant 👏 👏 👏,5,brilliant,0.5859,2,trust
211600,Good game,5,good game,0.4404,2,trust
160590,Lost my past games with your candy crush saga. It's okay as I will get back almost too the thousands. Thank you.,5,lost my past games with your candy crush saga its okay as i will get back almost too the thousands thank you,0.128,2,negative
63720,Very relaxing and fun to play,5,very relaxing and fun to play,0.8576,2,positive
181283,"Great time filler, love the relaxing tunes..",5,great time filler love the relaxing tunes,0.91,2,positive
222605,Good game,5,good game,0.4404,2,trust
298761,Some part of the game it gets hard but it's fun,5,some part of the game it gets hard but its fun,0.6428,2,positive
141138,Very fun,5,very fun,0.5563,2,positive
122712,Good,5,good,0.4404,2,trust
108910,Best entertaining game for free time ☺️,4,best entertaining game for free time,0.886,2,anticipation
124130,Great. I like,5,great i like,0.765,2,trust
301473,Having fun,5,having fun,0.5106,2,positive
136777,Pleasure & Relax 😊😚😊,5,pleasure relax,0.765,2,trust
30256,Very nice game I'm enjoying alot,5,very nice game im enjoying alot,0.7574,2,trust
88907,Good,5,good,0.4404,2,trust
217427,Nice game. Fun and enjoyable.,5,nice game fun and enjoyable,0.8402,2,positive
93627,I love this game,5,i love this game,0.6369,2,positive
69872,Great with Mistplay!!!,5,great with mistplay,0.6249,2,trust
246266,Nice,4,nice,0.4215,2,trust
38762,I love this game it is so fun and it's relaxing I rate 💯,5,i love this game it is so fun and its relaxing i rate,0.9125,2,positive
71524,Wow,5,wow,0.5859,2,trust
66831,Funny,5,funny,0.4404,2,trust
267544,nice game my game level 8000,5,nice game my game level 8000,0.4215,2,trust
130330,Love it,5,love it,0.6369,2,positive
123448,Love this game keeps u mind clear on other things that are going on in my life,5,love this game keeps u mind clear on other things that are going on in my life,0.7783,2,positive
235993,Having fun,5,having fun,0.5106,2,positive
217718,Super duper game,5,super duper game,0.5994,2,trust
68432,I really love this game 💯,5,i really love this game,0.6697,2,positive
2050,Lovely game,5,lovely game,0.5859,2,trust
285739,Lots of fun.,5,lots of fun,0.5106,2,positive
196227,Love it,5,love it,0.6369,2,positive
43442,Great fun,5,great fun,0.8126,2,positive
254835,Amazing 😍,5,amazing,0.5859,2,trust
137460,Love it,5,love it,0.6369,2,positive
192247,Like it,5,like it,0.3612,2,trust
234409,Interesting too much surprise 😮,5,interesting too much surprise,0.5859,2,positive
263790,Goog Good Good Good Good,5,goog good good good good,0.891,2,trust
107112,Nice,5,nice,0.4215,2,trust
183522,Cool game,4,cool game,0.3182,2,positive
289392,Good game,4,good game,0.4404,2,trust
303341,Love it,5,love it,0.6369,2,positive
15363,Nice game,5,nice game,0.4215,2,trust
248347,This game is stress free ☺️,5,this game is stress free,0.128,2,negative
214497,Very good,5,very good,0.4927,2,trust
270994,Really good,5,really good,0.4927,2,trust
288376,Nice,5,nice,0.4215,2,trust
140414,Super,3,super,0.5994,2,trust
131868,Cool to pass time,4,cool to pass time,0.3182,2,positive
74151,Ok,5,ok,0.296,2,trust
22984,Very nice and music 🎵 so good,1,very nice and music so good,0.7804,2,positive
215864,Nice game,5,nice game,0.4215,2,trust
196696,Good game,5,good game,0.4404,2,trust
177730,"I Love 💕 this game ! It's very addictive ! But all in a good way, Thank you for letting me play Candy Crush !",5,i love this game its very addictive but all in a good way thank you for letting me play candy crush,0.8979,2,positive
277240,Fun,5,fun,0.5106,2,positive
96813,Excellent,5,excellent,0.5719,2,trust
23409,Excellent,5,excellent,0.5719,2,trust
290633,The best game,5,the best game,0.6369,2,trust
218029,Nice,5,nice,0.4215,2,trust
73768,Loving the ga.e after many years of not playing,5,loving the gae after many years of not playing,0.5119,2,trust
126040,Awesome,5,awesome,0.6249,2,trust
220833,Super,5,super,0.5994,2,trust
275248,Pls give me more ads for extra lives and free boosters in candy crush game.....,4,pls give me more ads for extra lives and free boosters in candy crush game,0.4588,2,positive
226511,Yes this is so interesting,5,yes this is so interesting,0.7344,2,positive
186880,Having alot of fun with this game,5,having alot of fun with this game,0.5106,2,positive
255842,Good,5,good,0.4404,2,trust
235592,Love ❤️ this game,5,love this game,0.6369,2,positive
94358,Nice fantastic game,4,nice fantastic game,0.7506,2,trust
13272,Eixlent game thank you,5,eixlent game thank you,0.3612,2,trust
59597,Yummy 😋,5,yummy,0.5267,2,trust
126287,Great,4,great,0.6249,2,trust
9587,Best App,5,best app,0.6369,2,trust
307239,I love the challenge,5,i love the challenge,0.6705,2,positive
85815,My favorite game,5,my favorite game,0.4588,2,trust
294441,"Fun game, too much things you need to pay for",3,fun game too much things you need to pay for,0.4404,2,positive
99904,Good,5,good,0.4404,2,trust
129448,Cool,4,cool,0.3182,2,positive
129480,Amazing game,4,amazing game,0.5859,2,trust
231275,So much fun,5,so much fun,0.5542,2,positive
186435,Is fun to play😊,4,is fun to play,0.6908,2,positive
124964,Best to play,4,best to play,0.765,2,trust
287438,Wonderful,5,wonderful,0.5719,2,trust
152294,Fun,5,fun,0.5106,2,positive
42859,Best,5,best,0.6369,2,trust
198387,Played today but when I win the game it freezes and does not allow me to advance to next game. If I close down and start the app again it plays..but then it does the same again..what's going on here???..Don't want to play like this..sorry not fun like this..,5,played today but when i win the game it freezes and does not allow me to advance to next game if i close down and start the app again it playsbut then it does the same againwhats going on heredont want to play like thissorry not fun like this,0.9052,2,anticipation
294313,This is good,5,this is good,0.4404,2,trust
28922,Ok,5,ok,0.296,2,trust
108284,Good 😊,5,good,0.4404,2,trust
37467,Awesome,5,awesome,0.6249,2,trust
98469,good,5,good,0.4404,2,trust
197782,Good fun for a70 yr love it,5,good fun for a70 yr love it,0.886,2,positive
255764,Good 👍✌🏻😊 game 🎮🎮🎮🎮 and may be happy,5,good game and may be happy,0.765,2,trust
246098,Happy best game,5,happy best game,0.836,2,trust
267575,it so fun absultely game fun,5,it so fun absultely game fun,0.8012,2,positive
55143,Great,5,great,0.6249,2,trust
220235,Good,3,good,0.4404,2,trust
205,Awesome game,4,awesome game,0.6249,2,trust
278592,Amazing,5,amazing,0.5859,2,trust
173951,Very nice game I am enjoying thoroughly thank you so much for giving me opportunity to play this game,5,very nice game i am enjoying thoroughly thank you so much for giving me opportunity to play this game,0.9446,2,positive
217131,Fun game,5,fun game,0.5106,2,positive
93771,Excellent,5,excellent,0.5719,2,trust
284858,It is very interesting game and challenging level is good,5,it is very interesting game and challenging level is good,0.7574,2,positive
37122,Very nice 👍,5,very nice,0.4754,2,trust
96489,Very good and easy to play,4,very good and easy to play,0.8297,2,trust
69449,Super fun,5,super fun,0.802,2,positive
84379,Fun,5,fun,0.5106,2,positive
142301,👍😊 good app amazing,4,good app amazing,0.7717,2,trust
270568,Lovely,5,lovely,0.5859,2,trust
143943,Good,4,good,0.4404,2,trust
132433,Good,4,good,0.4404,2,trust
244161,Awesome,5,awesome,0.6249,2,trust
206995,This is very good game,5,this is very good game,0.4927,2,trust
233284,"Excellent, peaceful great way to pass the time",5,excellent peaceful great way to pass the time,0.9001,2,trust
192805,so nice,5,so nice,0.4754,2,trust
43590,Adorable,5,adorable,0.4939,2,positive
29424,Nice time pass game,5,nice time pass game,0.4215,2,anticipation
216749,Enjoyable,1,enjoyable,0.4404,2,trust
189659,Good,5,good,0.4404,2,trust
173628,Great,5,great,0.6249,2,trust
186346,Excellent,5,excellent,0.5719,2,trust
192313,love it,5,love it,0.6369,2,positive
268102,This game is so fun it helps me out when I'm stressed out.,5,this game is so fun it helps me out when im stressed out,0.6913,2,positive
25911,Awesome,5,awesome,0.6249,2,trust
184807,Love this game,5,love this game,0.6369,2,positive
94481,Love this game,4,love this game,0.6369,2,positive
63034,Ok,1,ok,0.296,2,trust
1690,6i inn n my nn GT hy mm mm,5,6i inn n my nn gt hy mm mm,0.2732,2,trust
23650,Excellent game no glitches ever quality 👏,5,excellent game no glitches ever quality,0.3612,2,trust
72512,It's a great game to play,5,its a great game to play,0.7579,2,trust
238251,Love it..,5,love it,0.6369,2,positive
58758,Good,5,good,0.4404,2,trust
34175,Good game,4,good game,0.4404,2,trust
91237,Good,5,good,0.4404,2,trust
24887,Its very good and AExelant,5,its very good and aexelant,0.4927,2,trust
263122,Fun,5,fun,0.5106,2,positive
147797,Very nice game I have ever played,5,very nice game i have ever played,0.6697,2,trust
43964,Nice game,5,nice game,0.4215,2,trust
95306,Yes i Love this Game 🎮,5,yes i love this game,0.7845,2,positive
215130,Nice game,5,nice game,0.4215,2,trust
104531,Love this game,5,love this game,0.6369,2,positive
206171,Best game ever!!,5,best game ever,0.6369,2,trust
300973,I love this game,5,i love this game,0.6369,2,positive
247052,Nice game I like it 👌,5,nice game i like it,0.6486,2,trust
27203,Good,5,good,0.4404,2,trust
97276,"Enchanting, amazing experience. Lovely 😍",5,enchanting amazing experience lovely,0.8225,2,positive
